,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21
Volume,-0.5107395905868235,0.565429822967421,-0.34788516884810966,0.1917530742288551,-0.2961232335186391,0.056041088974448754,-0.01351978557195079,-0.056968920873364456,0.17765582327407273,-0.2689760615146209,-0.13781146908687958,-0.04662951648373446,0.04636911829903303,0.05214645645791579,0.18730555000611424,0.0288319356770894,-0.02652434013219756,0.023851238175197707,0.006323563150196437,0.00827834840541133,0.011919469307716795
Cinema,0.46434125538341026,0.37180386814900573,0.6068361418149811,-0.28682900454369775,-0.13034431149161985,0.056062913490989796,-0.12389531491832098,-0.28075039251273676,0.17585312009567175,0.04418198954655101,0.0398930401757683,0.06866733467076416,0.11011282434681281,-0.10742261512495022,0.019774243614477483,0.038162260496371954,0.10756587367775554,0.05853299103377842,-0.04036495587321221,0.00131500486495638,0.0014614104374192159
PIB,0.9518838702438434,-0.10711791383971839,-0.005574625034198026,0.18552005164968266,-0.05211679124720609,-0.002348611081003973,-0.04625263298295974,-0.0713656616209358,0.07575945357763,0.03686489402784594,0.11730710459775391,0.014138586915869398,-0.0194710204294494,0.01575819324275071,0.02405601312170762,0.030648089423181108,-0.013248484911877939,0.01847649005033711,0.07074812286014373,0.09006603609260817,-0.03465751869632621
Cerc,0.7752609905731844,-0.4240027789444057,0.05680041723492334,-0.1012911643932383,0.03785132191885177,-0.08100359179220293,0.16166386146468228,-0.1745534939760761,0.0480348127505658,0.12833333247208834,-0.21674796000307786,-0.06457328253385372,-0.04782291394251232,0.22034215566881213,0.06496923053035104,0.09450893581753579,0.07000443530985469,0.024575571278220583,0.02833623139145787,-0.029234132657990214,-0.005334283947324848
ProdVeg,-0.6778075581648355,0.29506372636613737,0.20698837021277694,0.27097456455010466,-0.01581310508531975,-0.34548709237831726,0.07875535803763378,-0.18985601846520603,0.17653079851808126,0.2706069202061359,0.03662698695554154,-0.22242765222938374,0.0828928810997811,-0.004745270192548484,-0.004640235010669933,-0.07705896657665276,-0.08100635744169367,-0.0059937111493323725,0.02113013506885494,-0.01317268741215736,-0.01027944477562367
ProdAn,-0.6685277976249187,0.0642411570451118,-0.14763242556872347,0.39210150318281756,-0.21385050003454212,0.07684999197410516,0.29277362630708714,-0.31074084383456896,-0.10881974464718629,0.048914077798136404,0.28017099037861,0.11807596443163401,-0.1593962730570454,0.027102619539578748,-0.0006604260254161113,0.07174050144188093,0.007003420931556964,0.031180260528778002,-0.014154497457018782,-0.016988744618233395,0.004402878123473527
Telefonie,0.8329326832090236,0.37341740536173695,-0.1359957437197596,-0.02662139600052096,0.1620567411919087,-0.2218728772509243,0.027277108283228303,0.020118417348196475,-0.11280876487231899,-0.14028760026715442,0.035385566262596944,-0.0214138007245574,0.01735666451301628,-0.08925268026907522,-0.08306142702908001,0.041218186724243114,-0.01889895032793459,0.09689818519502454,0.09263655539525442,-0.036968006964449115,0.016221835681203462
Internet,0.4667108764261609,0.5625426317320463,-0.2602412359325633,0.33900035294331476,0.011057789724104518,-0.3339831731126146,-0.1928586981425058,0.17956996336474354,-0.22331966331816694,0.11831829373680931,0.06485996021181883,0.03419792492304322,0.096931044983283,0.05507320108719095,0.03938936077695197,0.07399851128813821,0.09720303184248631,-0.04978532425874988,-0.027951723005646422,-0.007708692890348978,-0.022409843601994626
Cazare,0.3953256774523755,0.43864717870276654,0.5234357054927451,0.02543692884524445,-0.3203719233187497,0.39846872706488035,-0.23677348603528275,0.1335906586543148,-0.04973493747519852,0.06880353266958773,0.007434230426787069,-0.006739131677128622,-0.05889096047875703,0.09916777201483097,-0.04685882456705118,0.07668187321635234,-0.09741676075925018,-0.0390018779833297,0.03271249334972339,-0.0240532496584474,-0.0020928004244639303
ExecB,0.8558875148947553,-0.18124093470170044,0.01397633284805007,0.25847629673473577,-0.00011430901398344593,-0.16690391451140096,-0.03565921199946505,0.0391153340665481,0.16640486237091784,-0.0875251796331879,0.04678019228456966,0.1901823538335541,0.11793392791579511,0.15485611935364413,-0.059447182076031946,-0.05521574276958845,-0.10567803474220833,0.05990897182444887,-0.0611348546852639,-0.01314406064177186,-0.009835659895205094
